time_s,x_m,y_m,error,line_seen,steering_rad_s,deviation_m,progress_m
0.1,-0.7864386929084239,-0.00602217668937512,0.1857638888888889,True,-0.3715277777777778,0.0064396615404878526,0.013219442502651432
0.2,-0.7800613845436994,-0.013290944733705689,0.143474769933914,True,-0.24466042091285312,0.006590733238575299,0.022894174808310963
0.30000000000000004,-0.7737461614489037,-0.02140619465698882,0.13675692499221903,True,-0.2667960050427431,0.006142457462003951,0.033167361893267966
0.4,-0.7668450684644866,-0.02900568585633312,0.08804563492063493,True,-0.12737997976968574,0.006457146168540425,0.04343952129839886
0.5,-0.7606038922928133,-0.03721044779128223,0.09474206349206349,True,-0.19618055555555552,0.00586807363559526,0.05374849491467793
0.6000000000000001,-0.7535630842995874,-0.04469038129645905,0.04587612822906941,True,-0.042886321195144746,0.006335651833741802,0.06401025660884913
0.7000000000000001,-0.7473249927330116,-0.0528857162428601,0.060887896825396824,True,-0.13678756224712108,0.005705431101268114,0.07431346459633821
0.8,-0.7400970436825862,-0.0602048426373636,0.008585016367117561,True,0.03513284772404415,0.006380692700734786,0.08457781457217925
0.9,-0.7338589034459007,-0.0683987584149595,0.032420175277318025,True,-0.08867550946483652,0.005689237529326523,0.09488320440373547
1.0,-0.7264039097971983,-0.07551697176273203,-0.025137422024581524,True,0.1078324413510626,0.006601230566155212,0.1051871238726381
1.1,-0.7203690419855245,-0.08390900139773094,0.02217281205608063,True,-0.0916558581928234,0.00556327724785902,0.11547150250277971
1.2000000000000002,-0.7124538404476523,-0.09070682306780639,-0.06043956043956042,True,0.20349149337476188,0.006943063392792081,0.12585474334251986
1.3,-0.7065112869595129,-0.0992532436078481,0.008585016367117561,True,-0.0861946095409131,0.005658347674342694,0.13622985474855687
1.4000000000000001,-0.6987510954216453,-0.10647639665751987,-0.09245877339262548,True,0.285961336544994,0.006531598184537982,0.1467954567773018
1.5,-0.6925328547744527,-0.11472503166916632,-0.046757721176325796,True,0.04781439013635191,0.005529370481760103,0.1571308931914355
1.6,-0.684237577757573,-0.12113583588495697,-0.13585611684471005,True,0.3608106293578044,0.007252160404947446,0.16747217098291445
1.7000000000000002,-0.6774719014630669,-0.1290722910590371,-0.04161304161304161,True,-0.01101699200558523,0.006719783683213526,0.17796065157090316
1.8,-0.6692322716929858,-0.13547644954793894,-0.10229947492304911,True,0.2652853831561057,0.008259565797259292,0.1883697805327411
1.9000000000000001,-0.6627583445294667,-0.1435554105083545,-0.0380100954813599,True,0.011730811521030574,0.007290739239222969,0.19867719137246767
2.0,-0.6541009155069384,-0.1503832697824413,-0.13407888407888405,True,0.36422655675529225,0.008646603207992648,0.20971428719323562
2.1,-0.6475009736530903,-0.15830075023387236,-0.07538173697869516,True,0.09206632685720142,0.007700086651648839,0.2200902780659841
2.2,-0.638663847898243,-0.16492924468631806,-0.1694905178051245,True,0.4330898164366783,0.00914835056905073,0.2310417282867832
2.3000000000000003,-0.6317624496359046,-0.1725438771348497,-0.11699000587889483,True,0.18147949983155998,0.008393255342185279,0.24142959456288066
2.4000000000000004,-0.6227000797539985,-0.1787748649173906,-0.20634920634920634,True,0.5020576131687242,0.010031612861172122,0.2524597032680351
2.5,-0.6155318465213685,-0.1861206505722898,-0.15061728395061727,True,0.24550264550264547,0.009463184133773292,0.26288058993387
2.6,-0.6062460024859697,-0.1919907479932218,-0.2346445824706694,True,0.553316463461391,0.011225472235189287,0.27372398810181486
2.7,-0.5988366298316337,-0.1990867460491391,-0.17391304347826092,True,0.2870945479641134,0.010689013474707026,0.2841884220413802
2.8000000000000003,-0.5892171036969246,-0.2047139316708309,-0.267687074829932,True,0.629148181011535,0.012561573303344417,0.29543169076679693
2.9000000000000004,-0.581468204246617,-0.21142742519995414,-0.2119580458803074,True,0.36818706281099023,0.012250516079367314,0.30567960184466875
3.0,-0.5715567946745147,-0.21662418762437788,-0.3042328042328042,True,0.7007403668181051,0.014232309723838037,0.31697936539409277
