time_s,x_m,y_m,error,line_seen,steering_rad_s,deviation_m,progress_m
0.1,0.802058698399096,-0.02262830539057056,0.09015137586566162,True,-0.0,0.002453617999221833,0.022440122001141205
0.2,0.8019815431882887,-0.03190996837675827,0.11528822055137834,True,-0.0,0.002538591229585888,0.03172171670603108
0.30000000000000004,0.8015348789137801,-0.042455456287217155,0.1691086691086692,True,-0.0,0.002524926432467296,0.042188915446102815
0.4,0.8010196416221804,-0.052724307486755134,0.20079666847727679,True,-0.0,0.0025508731292087313,0.05247065173886156
0.5,0.8004730812578273,-0.06297724014962658,0.23097350473776326,True,-0.0,0.0025447023437555026,0.06273814015339907
0.6000000000000001,0.7999121565712571,-0.07323031787385076,0.26959893372107113,True,-0.0,0.0026198427047952697,0.07291402614944298
0.7000000000000001,0.7993444093102785,-0.08348346064063931,0.30134770889487883,True,-0.0,0.0029617441736586657,0.08317718243462568
0.8,0.7987734373648958,-0.09373657643021986,0.33476012127697513,True,-0.0,0.0033004312241761207,0.09344059723861609
0.9,0.7982009529431807,-0.10398967784214508,0.3801106301106302,True,-0.0,0.00363761046083652,0.10370413157814529
1.0,0.7976277743110938,-0.11424277511405298,0.4199882422104644,True,-0.0,0.004302111489462621,0.11381344921517123
1.1,0.7970542935399061,-0.12449587240752949,0.45904298459042986,True,-0.0,0.005020572734304461,0.12405740830060674
1.2000000000000002,0.7964806984933989,-0.1347489714403218,0.5056205162966729,True,-0.0,0.005738920826625673,0.13430138346027398
1.3,0.7959070784359592,-0.145002072960084,0.5485625485625486,True,-0.0,0.00665497555433773,0.1442884655917709
1.4000000000000001,0.7953334748003963,-0.15525517727310223,0.5748094665062174,True,-0.0,0.007774016948933563,0.15449644852384647
1.5,0.7947599062616538,-0.16550828448000196,0.6032358889501747,True,-0.0,0.008893093438787776,0.16470442854315825
1.6,0.7941863814761783,-0.1757613946097302,0.6332010582010582,True,-0.0,0.010084219711717414,0.17449301163606457
1.7000000000000002,0.7936129053468348,-0.1860145076949162,0.6643578643578645,True,-0.0,0.011628288873765099,0.1846454031391218
1.8,0.7930394814893446,-0.19626762379345752,0.6987333654000321,True,-0.0,0.013172409812589549,0.19479778685807148
1.9000000000000001,0.792466112526211,-0.20652074296831824,0.7328643578643579,True,-0.0,0.014716585107741837,0.20495016231604302
2.0,0.791892799546337,-0.21677386524901643,0.7729100529100529,True,-0.0,0.016664579342351063,0.21436130032888867
2.1,0.7913195422688565,-0.2270269906403783,0.8125960061443932,True,-0.0,0.018664176652667286,0.22443387769487355
2.2,0.7907463392699947,-0.23728011909489516,0.8576548899129545,True,-0.0,0.020663827292885243,0.23450644450278313
2.3000000000000003,0.7901731891515409,-0.24753325055413053,0.8983134920634921,True,-0.0,0.02297912439890631,0.24345736197441248
2.4000000000000004,0.7896000915869801,-0.25778638499067397,0.9295634920634921,True,-0.0,0.025471218796865508,0.25341952399397405
2.5,0.7890270475942238,-0.2680395224252455,,False,-0.0,0.027963365247400535,0.26338167299601833
2.6,0.788454058863231,-0.278292662914551,,False,-0.0,0.030680968723144655,0.2716860191760251
2.7,0.7878811265734618,-0.28854580651092443,,False,-0.0,0.033709433772235516,0.2814984401037548
2.8000000000000003,0.7873082506220404,-0.29879895322800254,,False,-0.0,0.03673795272848665,0.2913108443651615
